Number,Hotel,Rating,link,Travel,Location,Sleep,Rooms,Distance,Reviews,Cleanliness,New Rating_0_5,Residuals,New Rating
89,Best Western Devasthali Resort Goa,4,http://www.tripadvisor.in/Hotel_Review-g312681-d1858792-Reviews-Best_Western_Devasthali_Resort_Goa-Cansaulim_Goa.html,7,3.5,4,4,4,3.5,4,3.1,0.8,6.3
90,Joecons Beach Resort,3.5,http://www.tripadvisor.in/Hotel_Review-g306994-d1601250-Reviews-Joecons_Beach_Resort-Benaulim_Goa.html,8,4,4.5,4.5,4.5,4.5,4.5,3.6,0,7.2
91,Hotel Laguna Anjuna,3,http://www.tripadvisor.in/Hotel_Review-g306992-d305247-Reviews-Hotel_Laguna_Anjuna-Anjuna_Bardez_Goa.html,7,4,3.5,4,4,4,3.5,2.1,0.8,4.2
92,Victor Exotica Beach Resort,4,http://www.tripadvisor.in/Hotel_Review-g297605-d315599-Reviews-Victor_Exotica_Beach_Resort-Candolim_Bardez_Goa.html,8,4,4,4,4,4,4.5,3.2,0.6,6.4
93,Ruffles Beach Resort,3,http://www.tripadvisor.in/Hotel_Review-g297605-d1009367-Reviews-Ruffles_Beach_Resort-Candolim_Bardez_Goa.html,7,4,4,3.5,3.5,4,3.5,2.5,0.2,5.1
94,Vila Goesa Beach Resort,2,http://www.tripadvisor.in/Hotel_Review-g635747-d1161436-Reviews-Vila_Goesa_Beach_Resort-Baga_Goa.html,7,4.5,3.5,3.5,3.5,3.5,3.5,2.7,0.5,5.3
95,La Sunila Clarks Inn Suites,3.5,http://www.tripadvisor.in/Hotel_Review-g312680-d5503821-Reviews-La_Sunila_Clarks_Inn_Suites-Arpora_Goa.html,9,4.5,5,5,4.5,5,5,4.7,1.4,9.4
96,Graciano Cottages,2,http://www.tripadvisor.in/Hotel_Review-g1064392-d734422-Reviews-Graciano_Cottages-Colva_Goa.html,7,4.5,4,3.5,4,4,4,2.5,0.2,5
97,La Oasis by The Verda Anjuna,3,http://www.tripadvisor.in/Hotel_Review-g306992-d1719772-Reviews-La_Oasis_by_The_Verda_Anjuna-Anjuna_Bardez_Goa.html,7,4,4,4,3.5,3.5,3.5,3.2,0,6.4
98,Alegria - The Goan Village,2.5,http://www.tripadvisor.in/Hotel_Review-g297605-d1052710-Reviews-Alegria_The_Goan_Village-Candolim_Bardez_Goa.html,7,4.5,4,4,4,4,4,2.8,0.1,5.7
99,Amigo Plaza,2.5,http://www.tripadvisor.in/Hotel_Review-g297606-d1584885-Reviews-Amigo_Plaza-Salcette_District_Goa.html,8,4.5,4,4,4.5,4,4,2.8,0.1,5.6
100,Mykonos Blu,3.5,http://www.tripadvisor.in/Hotel_Review-g635747-d1651471-Reviews-Mykonos_Blu-Baga_Goa.html,8,4.5,4.5,4.5,4,4,4.5,4,0.2,8.1
101,Hotel Santiago,2.5,http://www.tripadvisor.in/Hotel_Review-g306995-d664396-Reviews-Hotel_Santiago-Calangute_Goa.html,8,4,4,3.5,4.5,4,4,2.6,0,5.2
102,Aldeia Santa Rita,3,http://www.tripadvisor.in/Hotel_Review-g297605-d315584-Reviews-Aldeia_Santa_Rita-Candolim_Bardez_Goa.html,8,4,4,3.5,4.5,4.5,4.5,2.3,0.5,4.6
103,Old Goa Residency,2.5,http://www.tripadvisor.in/Hotel_Review-g1584785-d1585583-Reviews-Old_Goa_Residency-Ponda_Goa.html,6,4,3.5,3.5,3.5,4,3.5,1.6,0.8,3.2
104,Annapurna Vishram Dhaam,2.5,http://www.tripadvisor.in/Hotel_Review-g306993-d2303679-Reviews-Annapurna_Vishram_Dhaam-Bardez_Goa.html,8,4,4.5,4.5,4,4.5,4.5,3.9,2,7.8
105,Lambana Resort,3,http://www.tripadvisor.in/Hotel_Review-g306995-d1206668-Reviews-Lambana_Resort-Calangute_Goa.html,8,4.5,3.5,4,4,4.5,4.5,2.1,0.8,4.3
106,Palolem Inn,3.5,http://www.tripadvisor.in/Hotel_Review-g2334950-d7159695-Reviews-Palolem_Inn-Palolem_Canacona_Goa.html,7,5,3,3.5,3,4,3.5,1.6,3.6,3.3
107,Marigold,3,http://www.tripadvisor.in/Hotel_Review-g303877-d1585539-Reviews-Marigold-Panaji_Goa.html,7,4.5,4,4,3.5,3.5,4,3.5,0.2,6.9
108,Casa Colvale,3.5,http://www.tripadvisor.in/Hotel_Review-g306993-d618402-Reviews-Casa_Colvale-Bardez_Goa.html,8,4.5,4.5,4.5,4.5,4,4.5,3.8,0.1,7.5
109,Joia Do Mar Resort,3,http://www.tripadvisor.in/Hotel_Review-g306995-d2153543-Reviews-Joia_Do_Mar_Resort-Calangute_Goa.html,6,4,4,4,3.5,4,4,2.6,0.2,5.2
110,Horizon,3,http://www.tripadvisor.in/Hotel_Review-g306995-d315542-Reviews-Horizon-Calangute_Goa.html,8,4,4,4,4.5,4.5,4,2.5,0.2,5
111,Nilaya Hermitage,3,http://www.tripadvisor.in/Hotel_Review-g312680-d307001-Reviews-Nilaya_Hermitage-Arpora_Goa.html,8,4.5,4.5,5,4.5,4,5,4.3,1.7,8.5
112,The Diwa Club by Alila,5,http://www.tripadvisor.in/Hotel_Review-g1199433-d6160815-Reviews-The_Diwa_Club_by_Alila-Majorda_Goa.html,9,4,5,5,4.5,4.5,5,5,0,10
113,Celestiial Boutique Hotel,4,http://www.tripadvisor.in/Hotel_Review-g297605-d6847514-Reviews-Celestiial_Boutique_Hotel-Candolim_Bardez_Goa.html,8,5,4.5,4.5,4,4,4.5,4,0,7.9
114,Sapphire Comfort Hotel,3,http://www.tripadvisor.in/Hotel_Review-g1152662-d2058556-Reviews-Sapphire_Comfort_Hotel-Margao_Goa.html,7,4,4,4,3.5,4,4,2.9,0,5.8
115,Prainha,3.5,http://www.tripadvisor.in/Hotel_Review-g1087527-d498687-Reviews-Prainha-Dona_Paula_Goa.html,7,4,4,4,3.5,4,4,2.9,0.4,5.8
116,Hotel Astoria,2,http://www.tripadvisor.in/Hotel_Review-g1025163-d1159936-Reviews-Hotel_Astoria-Assagao_Bardez_Goa.html,8,4,4,3.5,4.5,4.5,4,2.2,0,4.4
117,Martin's Comfort,3,http://www.tripadvisor.in/Hotel_Review-g297606-d1222881-Reviews-Martin_s_Comfort-Salcette_District_Goa.html,8,4,4.5,4.5,4.5,4.5,4.5,3.6,0.4,7.2
